,Text
0,@covid_parent @Lukewearechange 🤡 🌎
1,"@italianmaster @AneeshRamaswam2 @maga3patriot @PamelaHensley22 It's why I brought up the JFK corrollary. If Oswald and Ruby were sole actors, Our government's bumbling efforts to make it seem that way created the conspiracy industry. Same with Covid. Everyone covering their ass raises suspicions"
2,"Wem sind unsere Parlamentarier verpflichtet, wenn sie angesichts solcher Daten das COVID-Gesetz verlängern?
Nimmt einer dieser National- und Ständeräte das Wohlergehen der Schweizer ernst?
Wo bleibt das minimal notwendige Risikobewusstsein? https://t.co/pclMB69PbO"
3,"@NInterit @kevinnbass ""Once a covid cultist, always a cultists."" Who says so?
Is it written in the Bible? Condemning a man humble enough 2 apologize - after realizing he's been deceived  by the ones he trust - is not a sign of intelligence (the heart + mind one)."
4,"@DrWood @solid2gas @AnnieGr98324225 @johnpavlovitz @elonmusk FULL CLAIM: “Ivermectin reduces COVID death risk by 92%, peer-reviewed study finds”; NIH now lists ivermectin as COVID-19 therapy

The claim is based on a study by Kerr et al., published in the journal Cureus[1]. The study is based on more than 80,000 patient encounters."
5,@AnettH50267367 Und die jungen Männer können Covid auch nicht mehr über tragen.🥳
6,@covid_parent 🤣🤣🤣🤣🤣🤣🤣🤣
7,@SvenKrause68 @VQuaschning @elonmusk https://t.co/CsyZss1vl9
8,"BAG publiziert falsche #Covid Zahlen, respektive sind sie sehr Unglaubwürdig, die Fallzahlen würden sinken👉 Unten blaue Linie der Vermeldeten Fälle, gegenüber Meldungen aus Abwasser ZH &amp; Genf Dunkelrot

https://t.co/oNbClrNY15 https://t.co/cUaDvJ4VDK"
9,"@ZStadtfux Auch in Bezug auf die Nebenwirkungen der mRNA-Behandlungen hatten die ""Schwurbler"" leider mehr als recht: 
https://t.co/QWvyfzVlxI
oder
https://t.co/AozWZofvTY https://t.co/tfyQs4NST2"
10,"@ZStadtfux Bisher hatten aber in Bezug z.B. auf die Pandemie die sogenannten ""Schwurbler"" ziemlich recht: https://t.co/fueH5C1OnF"
11,@betweenengland @SophieLauren_S Find something else… you can’t travel 365 so it’s important to have something else that makes you happy…  that’s something I learnt during Covid and travel restrictions..It was what kept me sane.
12,"Zum Glück sind die jungen Männer vor Covid geschützt, nicht wahr?!🤡🥳 https://t.co/ukqGQ7ROwW"
13,"🔥WE NEED NUREMBERG TRIALS 

NOT only for the entire US Covid-19 Mafia but also for the ENTIRE SWISS Covid-19 Mafia! https://t.co/1h5525wQPZ"
14,"für alle die noch immer glauben, dass die ""Massnahmen"" irgendwas gebracht haben. https://t.co/xm4ObVhMZr"
15,@ContraInvest Hasta que la linea lila no se acerque mas a la amarilla no habra mercado alcista. Todavía tenemos los efectos de la cantidad de dinero impreso post-covid. https://t.co/Xgn4RLR5Re
16,"@MarcoSchlaepfer Propaganda von Psychopathen, 
ausgestrahlt von nützlichen Idioten für unnütze Idioten."
